Marque,reporting+70,Trage,SEGMENT_MODOP,PVFP,CAYVP,NBSTIONS,NBVERSEURS,CAHVP,CAYVPUC,collecte,presta,PM actu
MAAF,1,75-80ans,PP,132550.715198384,4322272.83,4211,215,4272304.62,934968.3,4631168.800200005,3096265.431132148,55680369.95736478
GMF,0,0-30ans,GP,1538973.396851841,36631423.16999999,55057,6494,36250857.45,4974248.47,38746414.70382798,778942.1570292498,670425941.0239068
GMF,0,0-30ans,NC,679129.8128277931,322771.0799999992,61056,0,0.0,0.0,11229004.91359708,2906612.371809061,0.0
GMF,0,0-30ans,PC,401991.9724895111,4069327.95,643,96,4058527.95,1430181.9,4137093.234092323,142388.5608115053,87108529.45327246
GMF,0,0-30ans,PP,52768.90273900572,1041912.63,937,122,1033686.63,238989.9,1089873.521503404,16341.13903191276,17189497.75180972
GMF,0,30-40ans,GP,1337833.349744461,27723335.43,35794,3232,27403100.65,3838181.24,29480614.10071877,1860224.115299186,532244304.9708481
GMF,0,30-40ans,NC,900921.5202687194,410949.1199999991,116204,0,0.0,0.0,17914964.82610542,5630301.585208726,0.0
GMF,0,30-40ans,PC,700973.8117466806,8640579.799999999,1344,201,8632619.799999999,2069299.91,8689448.815803535,706155.3082255207,186076572.8378439
GMF,0,30-40ans,PP,178949.3253034937,3687058.94,2387,264,3656895.53,614164.11,3850986.39720245,247935.7411034541,66673216.42977034
GMF,0,40-50ans,GP,1640812.518596831,30744615.83,35206,3195,30329418.2,4463316.41,33127417.72026325,5550881.343557829,643770425.9780036
GMF,0,40-50ans,NC,1072673.603457824,594951.4800000001,87445,0,0.0,0.0,19953630.34556397,6173784.852110893,0.0
GMF,0,40-50ans,PC,1524377.9467356,16817069.32,2944,473,16775271.32,4282872.720000001,17085105.55094649,3762525.462142516,398120503.2423016
GMF,0,40-50ans,PP,484209.0805038472,8000272.159999999,6544,630,7893033.28,1575355.16,8618818.031860221,1416524.509234761,163627153.7623673
GMF,0,50-60ans,GP,2617631.278458522,52752196.63999996,53540,3747,51574711.05,7496756.82,65054211.068865,24032761.98057634,1203338158.46471
GMF,0,50-60ans,NC,653631.8690603465,435268.6799999999,46572,0,0.0,0.0,11827617.71252181,3694437.054985305,0.0
GMF,0,50-60ans,PC,4126236.402412037,47447470.29,8850,1258,47331735.75,13559173.11,48208873.21160202,21624748.81238055,1083662127.587647
GMF,0,50-60ans,PP,1389635.219318298,23164050.76,13417,1595,22918488.74,4585728.8,24586520.17268578,9346991.300757015,485650465.6446029
GMF,0,60-70ans,GP,3430038.452373851,91417765.7000001,138060,5559,89314972.33000001,12905955.51,114271534.4294893,64583047.56330653,1825564382.231805
GMF,0,60-70ans,NC,181347.4336470474,157600.08,23825,0,0.0,0.0,2978186.825249513,939388.6454914152,0.0
GMF,0,60-70ans,PC,8886426.101281622,138519704.05,29802,3696,138305147.78,36530490.31,139897013.1646893,94893366.27950032,2716586002.224369
GMF,0,60-70ans,PP,3110807.400434517,68919665.18,37358,4408,68449815.67,14100802.03,71641101.63255376,40489220.89090871,1236774729.361324
GMF,1,+80ans,GP,394935.9475930052,53657200.53,140540,3230,53463657.21,270192.31,54514018.65330254,49084156.00721424,471143853.6032066
GMF,1,+80ans,PC,739837.5088198866,92790866.97000001,30045,2166,92723103.09000002,669387.3999999999,93080163.72710373,88846430.02568986,816279847.9449832
GMF,1,+80ans,PP,40105.88389097161,4832845.71,2313,160,4822760.669999999,46260.0,4876616.568183679,4423076.418644879,43090163.8455764
GMF,1,70-75ans,GP,1039869.746720972,39293857.01999991,83873,2687,38422562.17,4742296.49,48073946.20045581,33322933.85038381,640258310.1616479
GMF,1,70-75ans,NC,4365.086804613246,5425.68,2436,0,0.0,0.0,69981.75683357405,22545.99978769553,0.0
GMF,1,70-75ans,PC,3198334.035761632,75958481.64,21450,2082,75888583.84,15531295.47,76390725.26144132,61769387.60738009,1237511345.202687
GMF,1,70-75ans,PP,982794.7030496516,32143684.83,20349,2049,31992535.81,5101618.24,32999209.54923979,23525779.00209653,489722868.8692894
GMF,1,75-80ans,GP,581294.1643943044,34013923.32,75362,2693,33765930.52,2646152.54,35709458.20425115,28570314.40143935,441759513.63525
GMF,1,75-80ans,NC,2094.76455963641,3605.52,152,0,0.0,0.0,32735.87820170355,10530.89153326374,0.0
GMF,1,75-80ans,PC,1338609.387777532,50304847.8,15151,1442,50280688.66,7025375.279999999,50441954.77691671,44486188.80568368,682174814.5337944
GMF,1,75-80ans,PP,128726.7295685252,5792219.42,3393,333,5762920.58,793773.1500000001,5951491.759769154,4689955.108441514,76118858.70406424
